"","INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","INSTURL","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","OPEID","SAT_AVG","SATMTMID","SATVRMID","SATWRMID","PCT_WHITE","PCT_BLACK","PCT_ASIAN","PCT_HISPANIC"
"1","Alabama A & M University","Normal","AL","34.783368","-86.568502","18","17","17","NULL","www.aamu.edu/","0.8738","9366","17496",100200,"849","420","425","NULL","46.8400001525878","47.9799995422363","1.48000001907348","3.78999996185302"
"2","University of Alabama at Birmingham","Birmingham","AL","33.505697","-86.799345","25","26","23","NULL","www.uab.edu","0.5814","8040","18368",105200,"1125","575","560","NULL","69.0199966430664","27.7600002288818","1.10000002384185","2.02999997138977"
"3","Amridge University","Montgomery","AL","32.362609","-86.17401","NULL","NULL","NULL","NULL","www.amridgeuniversity.edu","NULL","7180","7180",2503400,"NULL","NULL","NULL","NULL","70.8799972534179","22.5300006866455","1.28999996185302","6.94000005722046"
"4","University of Alabama in Huntsville","Huntsville","AL","34.724557","-86.640449","28","29","26","NULL","www.uah.edu","0.7628","9842","20612",105500,"1257","610","590","NULL","76.3799972534179","18.9799995422363","1.41999995708465","2.54999995231628"
"5","Alabama State University","Montgomery","AL","32.364317","-86.295677","17","17","16","NULL","www.alasu.edu","0.459","9220","16156",100500,"825","410","415","NULL","42.6899986267089","52.3199996948242","1.40999996662139","4.09000015258789"
"6","The University of Alabama","Tuscaloosa","AL","33.211875","-87.545978","27","28","26","NULL","www.ua.edu/","0.5259","10470","26950",105100,"1202","555","550","NULL","75.3499984741211","21.0599994659423","1.20000004768371","2.41000008583068"
"7","Central Alabama Community College","Alexander City","AL","32.92478","-85.945266","NULL","NULL","NULL","NULL","www.cacc.edu","NULL","4380","7890",100700,"NULL","NULL","NULL","NULL","71.5100021362304","26.8999996185302","0.2199999988079","1.00999999046325"
"8","Athens State University","Athens","AL","34.806793","-86.964698","NULL","NULL","NULL","NULL","www.athens.edu","NULL","NULL","NULL",100800,"NULL","NULL","NULL","NULL","83.8899993896484","12.2600002288818","0.64999997615814","2.40000009536743"
"9","Auburn University at Montgomery","Montgomery","AL","32.36736","-86.177544","22","22","20","NULL","www.aum.edu","0.7659","9640","20710",831000,"1009","470","465","NULL","59.9700012207031","37.2099990844726","0.91000002622604","1.62000000476837"
"10","Auburn University","Auburn","AL","32.599378","-85.488258","27","29","26","NULL","www.auburn.edu","0.8054","10696","28840",100900,"1217","585","575","NULL","75.9000015258789","19.7999992370605","1.64999997615814","2.89000010490417"
"11","Birmingham Southern College","Birmingham","AL","33.513774","-86.850552","26","26","24","NULL","www.bsc.edu/","0.4839","34448","34448",101200,"1150","530","555","NULL","78.9000015258789","17.4099998474121","1.38999998569488","2.46000003814697"
"12","Chattahoochee Valley Community College","Phenix City","AL","32.42391","-85.031485","NULL","NULL","NULL","NULL","www.cv.edu","NULL","4254","7764",1218200,"NULL","NULL","NULL","NULL","57.5299987792968","38.6800003051757","0.85000002384185","2.85999989509582"
"13","Concordia College Alabama","Selma","AL","32.425647","-87.019145","NULL","NULL","NULL","NULL","www.ccal.edu/","0.2363","10320","10320",1055400,"NULL","NULL","NULL","NULL","39.2099990844726","58.5","0.56000000238418","1.62000000476837"
"14","South University-Montgomery","Montgomery","AL","32.342684","-86.216488","NULL","NULL","NULL","NULL","www.southuniversity.edu/montgomery#location=Montgomery,%20AL","NULL","17306","17306",1303906,"NULL","NULL","NULL","NULL","65.2200012207031","28.5599994659423","1.74000000953674","6.6100001335144"
"15","Enterprise State Community College","Enterprise","AL","31.297496","-85.836956","NULL","NULL","NULL","NULL","www.escc.edu","NULL","4380","7890",101500,"NULL","NULL","NULL","NULL","74.0800018310547","21.0499992370605","1.20000004768371","3.25999999046325"
"16","Coastal Alabama Community College","Bay Minette","AL","30.851343","-87.778193","NULL","NULL","NULL","NULL","www.coastalalabama.edu","NULL","4380","7890",106000,"NULL","NULL","NULL","NULL","76.1699981689453","20.2999992370605","0.76999998092651","1.55999994277954"
"17","Faulkner University","Montgomery","AL","32.384181","-86.21641","21","20","19","NULL","www.faulkner.edu","0.4538","20130","20130",100300,"972","500","500","NULL","64.8799972534179","31.8899993896484","1.04999995231628","1.80999994277954"
